,topic0,topic1,topic2,topic3,topic4,topic5,topic6,project,date
sails-tags_2012-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,sails,2012-06
sails-tags_2015-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,sails,2015-01
sails-tags_2015-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,sails,2015-06
sails-tags_2013-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,sails,2013-01
derby-tags_2014-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2014-06
derby-tags_2012-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2012-01
derby-tags_2016-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2016-01
derby-tags_2013-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2013-06
derby-tags_2014-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2014-01
derby-tags_2011-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2011-06
derby-tags_2012-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2012-06
derby-tags_2015-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2015-01
derby-tags_2015-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2015-06
derby-tags_2013-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,derby,2013-01
flask-tags_2014-06,428.53607597232354,14.553126223865041,0.14345753959069166,37.337052908182336,0.14329621317403532,0.14345427279439793,0.14353686998547063,flask,2014-06
flask-tags_2012-01,420.3056238371445,15.305044634591548,0.14347118255767793,31.815551773374615,0.14329465432142388,0.14347628545016194,0.14353763247751677,flask,2012-01
flask-tags_2016-01,556.8406779088572,0.1434683364511703,84.82847825011844,167.6075574271946,39.29308444369759,0.1433213905747887,0.14341224295262558,flask,2016-01
flask-tags_2013-06,421.150968586642,14.839828136659479,0.1434565898522732,40.43547684637583,0.14328729041644922,0.1434518234401145,0.14353072653083074,flask,2013-06
flask-tags_2014-01,421.61062881782794,14.934854975495856,0.1434617046465253,36.88076472876862,0.14329031585751156,0.14346301622612476,0.1435364410951116,flask,2014-01
flask-tags_2010-06,1485.9962242781598,89.14182978633346,633.4376714661684,174.75339295775657,63.55081104853484,0.1432948077927757,530.9767756546461,flask,2010-06
flask-tags_2011-06,580.1717711746048,0.14350895436486333,39.29887281821958,77.95557117900977,0.14357140763428555,0.14329838578870058,0.14340608024818466,flask,2011-06
flask-tags_2012-06,418.6639260890951,15.131484173685019,0.14345684357269978,41.63088084793161,0.14328623212885164,0.1434440253246047,0.14352178817931766,flask,2012-06
flask-tags_2015-01,563.6112618191762,0.14347666244200658,80.82451025318171,130.7160732749993,40.41795325884591,0.14330786478940505,0.14341686641310095,flask,2015-01
flask-tags_2015-06,559.3186918499415,0.1434776397549183,84.72878781852592,144.50081413732494,42.02147631160446,0.14332679744008625,0.14342544525623174,flask,2015-06
flask-tags_2011-01,577.3961025690262,0.1435073405825187,34.130910142821946,79.8992008666927,0.1435655033361569,0.14330460811118198,0.1434089693026998,flask,2011-01
flask-tags_2013-01,418.6639260890951,15.131484173685019,0.14345684357269978,41.63088084793161,0.14328623212885164,0.1434440253246047,0.14352178817931766,flask,2013-01
rails-tags_2014-06,103.18872789713681,286.87731241909796,110.974826111185,0.14355074973274778,0.14353028758455297,0.1432274097202472,581.5288251252966,rails,2014-06
rails-tags_2012-01,29.711501518725715,229.01097940270736,0.1435967468065032,9.046289684671395,27.297690779661448,0.1433049865720518,6.646636880781666,rails,2012-01
rails-tags_2006-06,3.0491185449189295,87.39334405399244,0.14311549576552993,31.985185040879884,0.14299746117783094,0.1431726278664143,0.14306677537516832,rails,2006-06
rails-tags_2016-01,97.43093814623198,290.45245017880046,122.45422177146425,0.14349134186202256,0.1435384573244917,0.14321351359118206,577.2321465904987,rails,2016-01
rails-tags_2013-06,16.13609447390838,252.1082157749746,8.205964133396959,9.363915918428212,37.89894955504564,0.14332467616212913,0.14353546800818526,rails,2013-06
rails-tags_2005-06,3.3972689481172225,85.67316770839896,0.14313483306949434,31.357108912286375,0.1430037857444869,0.14317361378072385,0.14314219857899638,rails,2005-06
rails-tags_2014-01,102.32454649366417,279.16379254811926,106.24222240075527,0.14348704246210436,0.14353417071866373,0.14321412629434765,579.8392032177634,rails,2014-01
rails-tags_2010-06,52.52051559836211,177.2541772874225,0.14362872924317807,0.14338996512745517,0.1434746691700769,0.14344307631555564,14.651370674313027,rails,2010-06
rails-tags_2009-06,1.4226920842241726,80.84478983177219,0.14333068640605973,34.61585002156167,0.14301927044985108,1.687233508812766,0.14308459673652613,rails,2009-06
rails-tags_2009-01,1.4226920842241726,80.84478983177219,0.14333068640605973,34.61585002156167,0.14301927044985108,1.687233508812766,0.14308459673652613,rails,2009-01
rails-tags_2011-06,32.90048692615053,200.73247819603972,0.14360550022577123,0.1435838864158342,13.593191921662465,0.14341282990390014,7.343240739536127,rails,2011-06
rails-tags_2012-06,21.67124657096033,214.73774808618515,6.348279434532921,8.245767860357912,28.71001374110701,0.14333750020768332,0.1436068065802437,rails,2012-06
rails-tags_2008-01,2.9727857154822193,85.45932070307718,0.14310997850643348,33.99563021309251,0.14299479359124503,0.14314195342231628,0.14301664280393597,rails,2008-01
rails-tags_2007-06,3.0491185449189295,87.39334405399244,0.14311549576552993,31.985185040879884,0.14299746117783094,0.1431726278664143,0.14306677537516832,rails,2007-06
rails-tags_2006-01,3.3854981640837276,87.19270144856685,0.1431317226545722,33.84935531201047,0.1430051527335984,0.14316796249888722,0.14314023742738233,rails,2006-01
rails-tags_2008-06,2.908471235352975,80.57381457767382,0.14311416778869296,33.94538771869651,0.1429958026661473,0.14314362887225116,0.14307286892524607,rails,2008-06
rails-tags_2005-01,0.14329020679631907,58.33059327056872,6.350222889604013,21.40220054361142,36.62082846785929,0.14317398167747608,68.00969063983004,rails,2005-01
rails-tags_2015-01,102.92379834662266,287.34524419157543,109.50004848487013,0.14355030241416003,0.1435312671406737,0.14322867541087222,580.8005987317206,rails,2015-01
rails-tags_2015-06,101.90602427833642,288.84406895060357,108.19564951808972,0.1435514845664436,0.14353060524080882,0.14322793445318568,591.6239472284628,rails,2015-06
